CommentID,Dataset,comment,FinalLabels,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,Neutral_confidence,Discredit_confidence,Stereotyping_confidence,Sexual_Harassment_confidence,Threats_of_Violence_confidence,Maternal_Insults_confidence,Sexual_Objectification_confidence,Anti-LGBTQ+_confidence,Physical_Appearance_confidence,Damning_confidence,Dominance_confidence,Victim blaming_confidence,classification,reasoning
2307,high-prob-with-keyword,SAM6969 January 1 2022 OH so small thing Could someone check for things like the Headmistresses first reward the mandatory one and see if they can change the part where she calles the player a manwhore to the female one Im trans feme so I have my set up as Pet Feminine body but with a penis and I made sure it was that way before this happened and Id like to be degraded being called feminine things,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0.97,0,0,0,0,0,0,0,0,0,0,0,Neutral,Respectful request.
2591,high-prob-with-keyword,Fix your bot is kinda gay i think,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.92,0,0,0,0,Anti-LGBTQ+,Uses slur.
2643,high-prob-with-keyword,Dear pussyman You firmware sucks as I told you so You see how many people are saying the same thing nowlol Blocking me doesnt mean anything and your firmware is still suck also it shows that you are a coward Maybe hymen is more suitable lastname for you than your original onelol,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.85,0,0.88,0,0.95,0,0,0,0,"Anti-LGBTQ+, Maternal_Insults, Sexual_Harassment",Insults with slurs and sexual reference.
2767,lgbtq-keywords,What I expected To toolbox the clown while calling him a faggot What I got Having to click on the chat bar between tool boxing his sorry shitty ass face in,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.89,0,0,0.94,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence",Uses slur and threatens violence.
2769,lgbtq-keywords,WEB REPORT BY originalbubsra REMOTE 2062211801387777 Revision 1badcae66dfbc06c8217db0c3306f0e381dbcb1c Description Juke is fucked Steps to Reproduce Attempt to play the theme from cheers on the jukebox What you Expected Making my way in the world today being in a place where everybody knows my name What Actually Happened some faggot ass music instead,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.96,0,0,0,0,Anti-LGBTQ+,Uses slur.
2771,lgbtq-keywords,Update chapter1 to be more faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,Uses derogatory LGBTQ+ slur.
2773,lgbtq-keywords,UNBLOCK ME ON DISCORD FAGGOT,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,Uses derogatory LGBTQ+ slur.
2775,lgbtq-keywords,U fuckin faggot I swear to God Ill find u,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.92,0,0,0.95,0,0,0,0,"Anti-LGBTQ+, Threats_of_Violence",Uses slur and threatens violence.
2777,lgbtq-keywords,trump is the reincarnation of jesus you stupid faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95,0,0,0,0,Anti-LGBTQ+,Uses derogatory LGBTQ+ slur.
2779,lgbtq-keywords,to text like this nameFaggot Pussy id13376969 pwdpU55y noteshoe,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.88,0.95,0,0,0,0,"Anti-LGBTQ+, Sexual_Objectification",Uses slur and objectifies.
